platform,content_type,industry,posting_hour,caption_length,cta,influencer,reach,engagement
Twitter,Thread,EdTech,19,212,1,0,30179,4.94
Twitter,Thread,Travel,9,91,1,1,36029,4.96
LinkedIn,Article,Sports,23,59,1,0,25863,4.85
LinkedIn,Post,Sports,18,181,0,1,28170,5.27
Facebook,Video,Travel,21,210,1,0,27418,5.8
YouTube,Video,Food,20,228,1,0,30517,7.17
YouTube,Video,Entertainment,11,129,0,1,24213,5.73
Instagram,Post,Fashion,10,177,1,1,33295,4.99
Twitter,Thread,FinTech,20,191,0,1,28775,5.52
YouTube,Live,EdTech,8,120,1,1,63991,7.99
YouTube,Shorts,Fitness,15,235,1,1,49501,6.92
Twitter,Thread,Travel,16,191,1,1,39190,4.92
Facebook,Video,FinTech,18,109,1,0,33584,5.69
Twitter,Thread,Gaming,10,176,0,0,22145,2.83
LinkedIn,Post,Tech,9,184,1,0,27777,3.96
Twitter,Tweet,Fashion,21,250,1,1,40875,5.8
Twitter,Tweet,Travel,23,147,1,1,37799,4.62
Instagram,Reel,FinTech,15,108,0,1,27740,5.44
Instagram,Post,EdTech,15,57,0,1,35139,5.06
LinkedIn,Article,Travel,19,87,0,1,36451,5.24
Facebook,Image,EdTech,8,206,1,0,27576,3.93
Facebook,Image,Tech,14,167,1,0,44198,5.18
Twitter,Thread,RealEstate,23,90,0,1,32626,3.9
YouTube,Shorts,RealEstate,19,226,1,1,56976,7.97
Facebook,Post,Tech,9,110,1,1,30800,4.74
LinkedIn,Post,RealEstate,18,120,0,0,34883,4.0
Twitter,Thread,Sports,13,205,1,0,25751,3.78
YouTube,Shorts,RealEstate,10,210,0,0,33045,5.53
Twitter,Tweet,Healthcare,17,237,0,0,21422,2.38
LinkedIn,Article,EdTech,12,83,1,1,42048,5.89
LinkedIn,Article,Sports,15,241,1,0,21960,3.73
Facebook,Image,RealEstate,18,192,1,0,40665,5.52
Instagram,Image,Beauty,9,166,1,1,31418,4.69
LinkedIn,Post,RealEstate,13,170,0,1,38160,4.47
Facebook,Video,Fashion,20,229,1,1,28588,7.03
Instagram,Reel,Food,21,79,0,0,43956,5.51
Facebook,Post,Tech,17,221,1,0,31510,3.79
Instagram,Post,Healthcare,19,121,0,1,30821,6.22
Twitter,Tweet,Travel,9,225,1,1,18148,3.66
LinkedIn,Post,Fashion,20,73,0,0,23138,4.27
LinkedIn,Post,EdTech,12,67,0,0,28329,3.7
LinkedIn,Post,Sports,6,120,0,0,22304,3.31
Facebook,Image,RealEstate,6,83,0,1,32589,3.71
Facebook,Video,Travel,6,94,1,0,23046,3.97
Twitter,Tweet,Entertainment,8,171,1,1,30873,4.51
Instagram,Post,Beauty,13,207,0,1,33722,5.22
Instagram,Reel,Tech,18,159,0,1,48643,7.1
Instagram,Reel,Travel,10,66,0,1,41194,5.94
YouTube,Live,Entertainment,16,147,1,1,42080,6.73
Twitter,Tweet,Sports,9,217,0,1,23733,3.89
Twitter,Thread,Tech,18,156,0,1,32243,5.62
LinkedIn,Article,EdTech,21,67,0,0,21785,4.51
Instagram,Image,Sports,10,192,0,1,34157,5.25
Twitter,Thread,RealEstate,19,234,0,1,36620,5.69
LinkedIn,Post,Healthcare,22,104,0,1,23731,3.52
Instagram,Image,Beauty,17,79,1,0,33378,4.26
YouTube,Live,Healthcare,23,56,1,0,26208,5.61
LinkedIn,Article,Travel,6,96,0,1,20291,4.91
Instagram,Reel,Entertainment,22,105,1,1,38632,6.76
Facebook,Post,Food,16,248,0,0,14727,2.87
YouTube,Video,RealEstate,8,119,1,1,44841,7.39
Twitter,Thread,Food,12,243,0,1,28041,5.07
LinkedIn,Article,Beauty,15,61,0,1,30336,4.93
Instagram,Carousel,Food,12,246,0,1,30211,5.86
Instagram,Reel,Tech,19,94,0,1,44512,6.9
Facebook,Video,Beauty,17,68,1,0,23254,4.2
Twitter,Tweet,Travel,19,196,1,1,25453,5.14
Twitter,Tweet,Travel,11,208,1,1,19916,3.97
Instagram,Carousel,Gaming,18,184,0,1,42764,5.67
LinkedIn,Post,Travel,11,69,0,0,30427,3.14
LinkedIn,Article,Entertainment,10,110,0,0,19634,3.71
Facebook,Video,EdTech,8,95,1,1,43122,5.83
YouTube,Shorts,RealEstate,16,210,1,0,32413,6.01
Twitter,Thread,RealEstate,15,120,0,1,28387,4.88
LinkedIn,Article,Tech,7,64,1,1,24817,4.99
Instagram,Post,Tech,23,239,0,1,47215,5.59
YouTube,Live,FinTech,16,204,1,0,46768,6.25
Twitter,Tweet,Sports,16,232,0,0,12802,2.46
Twitter,Thread,Beauty,22,206,0,1,22836,3.87
Twitter,Thread,Sports,16,223,0,1,20377,4.49
Instagram,Post,Food,14,235,0,1,24471,5.01
Facebook,Post,Food,18,83,0,1,36179,5.69
LinkedIn,Post,RealEstate,22,73,1,1,20387,4.69
LinkedIn,Post,FinTech,16,246,1,0,17752,3.47
Facebook,Image,Food,9,179,0,1,34710,3.86
YouTube,Video,Healthcare,18,89,0,0,47681,6.09
YouTube,Video,Entertainment,20,61,1,1,55169,8.02
Facebook,Post,Healthcare,15,242,1,0,25914,4.04
LinkedIn,Article,FinTech,17,223,1,1,37231,5.19
Twitter,Thread,EdTech,12,204,0,1,22389,4.4
Twitter,Thread,Beauty,9,232,0,1,23859,4.37
Facebook,Post,Tech,22,87,1,0,31290,3.85
Twitter,Thread,Fitness,19,63,1,1,28565,5.65
Instagram,Image,FinTech,6,131,0,1,32654,4.56
Facebook,Image,Food,21,228,0,1,34256,5.42
Instagram,Reel,Fitness,14,105,0,1,29880,5.94
LinkedIn,Post,Food,9,62,0,1,32757,4.14
YouTube,Shorts,Fashion,9,177,0,0,38169,5.72
LinkedIn,Article,Fitness,17,111,1,0,34390,4.53
Instagram,Image,Fashion,22,189,0,1,39209,4.92
Instagram,Post,Travel,14,241,0,1,31894,4.55
LinkedIn,Post,Entertainment,9,247,1,0,15810,3.12
YouTube,Shorts,RealEstate,11,249,1,1,44775,7.21
Facebook,Image,Entertainment,20,59,1,0,25724,5.11
Facebook,Image,Travel,15,181,1,1,23120,4.91
Facebook,Post,Travel,7,217,1,1,31444,6.24
LinkedIn,Article,Gaming,20,148,1,0,36495,5.53
Twitter,Thread,Sports,22,118,0,1,22311,4.75
YouTube,Video,Beauty,15,132,0,0,33950,5.88
LinkedIn,Article,Tech,19,92,1,1,35037,6.56
LinkedIn,Article,Food,7,69,1,1,34913,4.97
Facebook,Image,EdTech,20,58,0,0,28017,4.7
LinkedIn,Article,Gaming,7,204,0,1,35578,4.29
LinkedIn,Article,Sports,8,196,0,1,26456,4.51
LinkedIn,Post,Fashion,6,238,0,1,25677,3.81
YouTube,Video,Food,14,230,1,0,41843,6.63
Twitter,Tweet,Fashion,10,68,1,0,37099,4.23
Twitter,Tweet,Sports,16,220,1,0,20833,2.55
LinkedIn,Article,EdTech,11,142,0,0,24283,3.87
Facebook,Image,Sports,21,56,1,1,35381,5.25
YouTube,Video,Healthcare,8,66,1,1,49312,6.81
Twitter,Thread,Sports,19,197,0,0,40088,4.94
Instagram,Post,Tech,22,138,0,0,25745,3.53
Twitter,Tweet,Fashion,22,89,1,0,16155,2.87
Facebook,Post,Beauty,15,70,1,0,26611,3.41
LinkedIn,Post,RealEstate,15,207,0,0,25492,3.27
Facebook,Image,RealEstate,16,194,0,0,13068,2.91
YouTube,Shorts,RealEstate,12,246,1,0,41847,6.69
YouTube,Shorts,RealEstate,15,173,0,1,34216,6.52
Instagram,Reel,EdTech,20,156,1,1,33551,7.24
YouTube,Video,Travel,16,237,1,1,37016,7.86
LinkedIn,Post,Travel,13,169,0,1,28508,4.85
Facebook,Image,Fitness,15,148,1,0,24373,2.89
LinkedIn,Article,FinTech,11,177,1,1,39649,5.17
Twitter,Tweet,Fashion,18,179,1,0,24233,4.24
LinkedIn,Post,Fitness,15,176,1,1,28224,4.84
Instagram,Post,EdTech,14,236,1,1,27119,5.28
Twitter,Tweet,Healthcare,23,99,1,1,20193,4.25
YouTube,Shorts,Sports,23,121,0,0,43652,5.7
Twitter,Thread,Sports,16,192,1,0,23767,4.15
YouTube,Shorts,Beauty,7,61,0,0,35456,5.02
Twitter,Thread,EdTech,22,85,1,1,23334,4.67
YouTube,Live,Food,16,179,1,1,43357,6.81
Instagram,Image,Travel,9,156,1,0,27247,3.74
LinkedIn,Post,Entertainment,7,199,1,0,29820,4.21
YouTube,Shorts,EdTech,13,58,0,0,25874,6.26
LinkedIn,Article,EdTech,19,226,0,1,36139,5.3
YouTube,Shorts,Entertainment,7,230,0,0,36755,5.87
Twitter,Thread,Travel,11,167,1,1,41913,5.65
LinkedIn,Article,FinTech,13,121,1,0,40472,5.11
LinkedIn,Post,Entertainment,21,131,1,1,36466,5.09
LinkedIn,Article,Fashion,23,147,1,1,43260,4.91
Facebook,Post,Fitness,15,232,0,1,38575,4.71
LinkedIn,Article,FinTech,12,187,1,1,23200,5.42
YouTube,Live,Healthcare,13,112,0,0,40156,6.28
Instagram,Reel,Gaming,16,233,1,0,41795,5.61
Facebook,Image,Beauty,11,154,1,1,29158,4.33
LinkedIn,Article,Food,7,246,0,0,27634,3.58
Instagram,Carousel,Gaming,11,59,1,1,23058,3.7
LinkedIn,Post,Fitness,15,195,0,1,21674,3.59
YouTube,Live,Tech,10,179,1,1,35769,6.9
Instagram,Image,EdTech,20,215,1,0,23401,4.7
LinkedIn,Article,Healthcare,12,94,1,1,38134,6.35
Instagram,Post,RealEstate,9,97,0,1,22029,3.93
Instagram,Image,Gaming,13,164,1,1,30730,5.42
YouTube,Video,Food,17,227,0,0,35797,5.55
Twitter,Thread,EdTech,18,225,1,0,36753,5.58
LinkedIn,Post,FinTech,10,172,0,1,28754,3.43
LinkedIn,Article,Entertainment,23,170,0,0,32731,4.07
YouTube,Video,Beauty,20,185,1,0,56271,7.2
Instagram,Reel,Beauty,22,101,0,0,29151,4.41
YouTube,Shorts,Fashion,12,233,1,0,52477,6.78
Twitter,Tweet,Tech,10,181,1,1,26725,4.38
YouTube,Shorts,RealEstate,15,235,0,1,34990,6.26
Instagram,Carousel,Healthcare,8,61,1,1,33038,5.03
YouTube,Video,Fashion,21,58,1,1,39381,8.05
Facebook,Video,Entertainment,19,145,1,1,50378,6.75
Twitter,Tweet,RealEstate,23,84,1,0,20683,3.56
Twitter,Tweet,Entertainment,13,50,0,1,33143,5.03
YouTube,Shorts,Beauty,18,108,0,1,36072,7.2
LinkedIn,Post,Entertainment,9,58,1,0,22022,4.35
Instagram,Reel,Healthcare,7,164,0,0,27614,4.02
Twitter,Thread,FinTech,23,105,0,0,21773,3.24
Facebook,Video,Healthcare,16,197,1,0,24251,4.74
YouTube,Video,Gaming,15,120,0,0,39774,5.61
Twitter,Thread,Fitness,17,214,1,1,33036,4.55
Twitter,Tweet,Food,18,97,1,0,33478,4.42
LinkedIn,Post,Sports,20,64,1,1,36392,5.5
Facebook,Post,FinTech,14,102,1,0,34198,4.06
LinkedIn,Post,Beauty,12,63,1,1,39283,5.44
YouTube,Video,Fashion,12,244,0,1,33637,7.24
LinkedIn,Post,FinTech,12,239,0,1,34125,4.32
YouTube,Live,FinTech,18,111,1,1,45844,8.56
YouTube,Live,Travel,15,116,1,1,38751,7.12
Twitter,Thread,FinTech,17,130,1,0,26717,4.13
Facebook,Image,Food,23,199,1,1,22545,4.95
LinkedIn,Post,Gaming,13,177,1,1,38951,4.77
Twitter,Thread,Tech,11,237,1,0,21691,3.58
YouTube,Shorts,EdTech,23,214,0,0,47264,5.8
Instagram,Reel,Sports,6,155,0,0,25314,5.04
Facebook,Image,FinTech,22,166,1,0,28629,3.69
YouTube,Shorts,RealEstate,21,54,0,1,26759,7.75
YouTube,Live,Food,23,123,0,1,48645,7.01
Instagram,Reel,Beauty,10,111,0,1,41147,5.56
LinkedIn,Article,Fashion,17,153,1,0,30143,4.32
LinkedIn,Post,RealEstate,7,73,1,1,27611,4.42
Twitter,Tweet,RealEstate,6,229,0,0,23601,2.71
Twitter,Thread,Healthcare,9,185,0,0,23126,3.74
YouTube,Shorts,Food,7,69,1,0,33602,6.33
LinkedIn,Post,FinTech,10,242,1,0,20511,3.83
YouTube,Video,Healthcare,18,223,1,1,62198,8.72
Facebook,Video,Entertainment,8,178,1,0,21914,4.51
Facebook,Image,Travel,18,248,1,0,34175,5.17
Twitter,Thread,FinTech,17,191,1,1,26164,4.68
YouTube,Live,Gaming,8,247,1,0,39891,6.13
Instagram,Image,EdTech,18,232,0,1,30232,5.65
Instagram,Reel,Fitness,15,163,1,1,25755,6.34
Instagram,Carousel,Gaming,20,192,1,0,20636,5.44
LinkedIn,Post,Healthcare,16,148,0,1,23402,3.67
Instagram,Carousel,Healthcare,22,93,1,0,22471,4.84
LinkedIn,Article,Tech,10,66,0,1,23795,4.2
LinkedIn,Article,Sports,8,142,1,0,29606,3.61
Twitter,Tweet,Tech,9,84,1,0,32132,3.76
LinkedIn,Article,Sports,16,162,1,1,44108,5.42
YouTube,Video,Food,16,204,0,1,33385,6.75
Twitter,Thread,Food,21,197,0,1,31401,5.75
Twitter,Thread,Fashion,12,201,0,0,35878,3.9
Twitter,Tweet,Tech,15,227,0,1,26890,3.44
Facebook,Video,Food,13,114,0,1,41174,5.63
Instagram,Post,Healthcare,21,199,1,1,34291,5.93
LinkedIn,Post,Fashion,13,218,1,0,33387,4.49
Instagram,Post,Sports,16,160,0,0,16825,3.44
Facebook,Video,Entertainment,22,192,0,1,27368,4.67
Twitter,Tweet,Travel,6,173,0,1,20963,3.67
Instagram,Carousel,Travel,15,137,1,0,28364,4.17
LinkedIn,Article,Fashion,20,234,1,1,25338,6.07
Instagram,Reel,Fitness,16,215,0,0,39497,4.47
Facebook,Video,EdTech,23,90,1,1,45565,5.6
Facebook,Post,RealEstate,11,97,1,1,24011,4.8
YouTube,Video,Tech,19,149,0,0,30253,6.5
Instagram,Reel,Sports,23,97,1,1,30008,6.11
Instagram,Image,RealEstate,21,185,1,1,40828,6.29
YouTube,Video,Travel,17,167,0,1,48064,5.92
YouTube,Video,RealEstate,10,130,0,0,24953,4.94
Facebook,Post,Entertainment,10,180,1,1,28128,4.41
YouTube,Shorts,Gaming,11,174,0,0,32443,5.41
Facebook,Image,Travel,20,208,0,1,41154,5.52
Twitter,Tweet,FinTech,18,193,1,1,42374,6.09
Twitter,Thread,Tech,11,71,0,0,18540,3.64
LinkedIn,Post,Beauty,15,93,1,1,30498,4.44
Instagram,Reel,Food,23,143,0,1,35112,5.79
Twitter,Tweet,Entertainment,13,126,0,1,22159,4.0
Instagram,Post,Fashion,13,103,1,1,28612,5.59
Facebook,Image,FinTech,7,195,1,1,32346,4.58
Facebook,Post,Entertainment,15,124,1,0,22759,3.83
Twitter,Tweet,Food,10,229,0,0,17716,2.47
LinkedIn,Post,Sports,18,175,0,1,36532,5.41
Twitter,Thread,Fashion,8,153,1,1,33301,5.41
LinkedIn,Post,Sports,8,237,1,1,32427,4.46
YouTube,Shorts,FinTech,19,104,1,1,45916,8.36
LinkedIn,Article,Beauty,10,194,1,1,44432,5.38
Instagram,Reel,Fashion,20,54,0,0,34811,5.84
Instagram,Post,FinTech,10,216,1,0,32160,4.09
Instagram,Image,Food,8,145,0,0,24350,3.51
LinkedIn,Post,Gaming,8,230,0,0,18682,3.04
Instagram,Carousel,Healthcare,13,182,1,0,21709,4.29
LinkedIn,Post,Gaming,10,172,0,0,17483,3.01
Instagram,Reel,Travel,17,126,0,1,46671,6.0
Facebook,Video,RealEstate,10,67,0,0,27869,4.58
Facebook,Video,Entertainment,10,155,1,0,20195,4.88
Facebook,Image,Healthcare,18,139,1,1,46327,6.76
Facebook,Post,RealEstate,8,113,1,0,31879,3.39
LinkedIn,Post,Beauty,22,98,1,1,30830,4.85
Facebook,Post,Gaming,9,111,1,0,22562,3.77
LinkedIn,Article,EdTech,18,195,1,1,46195,7.18
Facebook,Post,Sports,8,54,0,0,16497,2.88
Instagram,Reel,Sports,18,179,1,1,42644,7.16
Twitter,Tweet,RealEstate,23,187,0,1,17435,3.56
Instagram,Carousel,Sports,10,187,1,1,30614,4.15
Instagram,Image,Entertainment,19,236,0,0,21670,4.49
Twitter,Tweet,Tech,7,129,0,0,16426,2.5
Facebook,Video,Fitness,11,177,1,1,26523,5.56
Facebook,Video,Sports,14,237,0,0,30334,4.74
Twitter,Thread,Beauty,8,117,0,1,31747,5.05
LinkedIn,Post,Tech,11,144,0,1,30853,4.38
YouTube,Live,Entertainment,9,108,0,0,37444,5.27
Facebook,Image,Tech,17,148,0,0,22640,2.84
YouTube,Live,Entertainment,19,107,1,0,43709,7.4
LinkedIn,Article,Fashion,17,80,0,0,21604,3.07
YouTube,Video,Gaming,8,169,1,1,37255,7.73
YouTube,Shorts,Fitness,17,101,1,1,53137,7.47
Facebook,Post,Travel,21,247,0,0,18275,4.21
Twitter,Tweet,FinTech,23,138,0,1,18562,3.11
Twitter,Thread,Fashion,12,185,0,1,30771,5.44
Facebook,Video,Food,8,61,0,1,35107,4.95
Twitter,Tweet,Healthcare,9,179,0,1,22063,4.3
YouTube,Video,Gaming,10,110,1,1,46824,6.36
Twitter,Thread,Travel,20,119,0,0,33900,4.26
Facebook,Video,Fashion,10,77,0,1,30112,5.0
Twitter,Tweet,Beauty,17,247,0,1,23075,3.82
LinkedIn,Post,Fashion,11,225,1,0,22728,3.32
LinkedIn,Post,Fashion,13,141,1,0,30560,4.35
LinkedIn,Post,Fitness,18,165,0,0,22276,3.77
Facebook,Image,Fitness,7,249,0,0,21713,3.14
Twitter,Thread,RealEstate,8,199,1,0,15420,3.85
Facebook,Video,Tech,10,73,1,0,21725,4.71
Instagram,Carousel,Healthcare,19,235,1,1,26352,6.48
Twitter,Tweet,Travel,12,97,1,1,25692,4.45
Instagram,Carousel,RealEstate,15,177,1,1,17981,4.39
LinkedIn,Article,EdTech,19,101,0,0,33650,5.31
LinkedIn,Article,Beauty,21,138,1,1,30881,6.43
Instagram,Image,Healthcare,13,57,1,0,34005,4.3
YouTube,Shorts,Sports,13,90,0,0,43211,6.72
LinkedIn,Post,Sports,13,197,1,1,45048,5.15
Facebook,Image,FinTech,16,238,1,0,33261,4.17
LinkedIn,Post,Healthcare,12,176,1,0,23993,4.13
Instagram,Reel,FinTech,13,55,1,0,37315,6.72
Facebook,Image,Travel,11,132,0,0,21864,3.9
Facebook,Image,Beauty,17,68,1,1,28666,4.6
LinkedIn,Article,Travel,10,90,1,1,36666,5.49
Facebook,Video,Beauty,17,107,0,1,31398,5.26
LinkedIn,Post,EdTech,6,229,1,0,23101,4.05
LinkedIn,Post,RealEstate,9,177,0,1,25484,3.61
Facebook,Post,Travel,11,212,0,1,24678,4.47
LinkedIn,Post,FinTech,8,139,1,0,26334,3.92
Instagram,Post,Tech,19,92,1,1,42462,5.5
LinkedIn,Article,Fashion,21,197,0,0,24594,4.33
Instagram,Image,Fitness,16,116,0,0,16185,2.68
Twitter,Tweet,Entertainment,8,190,0,1,28073,3.69
Twitter,Tweet,Gaming,11,205,1,0,15385,3.59
LinkedIn,Post,FinTech,19,228,1,1,31518,6.3
Instagram,Reel,Gaming,23,175,0,0,24654,4.83
Twitter,Tweet,Food,21,101,0,0,22287,4.65
LinkedIn,Post,Tech,9,128,1,1,28176,3.95
LinkedIn,Post,RealEstate,23,149,0,1,28122,3.32
LinkedIn,Post,Tech,7,117,1,1,23122,4.48
LinkedIn,Post,EdTech,9,71,1,1,41634,4.65
YouTube,Video,Beauty,7,149,1,1,42291,6.99
Twitter,Thread,Fashion,18,232,0,0,22017,3.67
Twitter,Tweet,EdTech,12,99,0,0,19547,3.36
Twitter,Tweet,RealEstate,10,202,1,1,34395,3.78
Instagram,Reel,Gaming,23,151,1,1,40443,6.57
Instagram,Post,Fashion,19,88,0,0,36786,4.85
YouTube,Video,Sports,15,187,1,1,33153,6.62
Twitter,Thread,Fitness,11,120,1,0,27845,3.59
Twitter,Tweet,Gaming,16,226,0,0,21300,2.38
LinkedIn,Article,Fitness,16,127,1,1,39738,5.07
Instagram,Carousel,EdTech,15,240,1,1,31044,5.38
Twitter,Tweet,FinTech,20,104,1,1,38453,5.11
LinkedIn,Post,Beauty,11,66,1,1,26101,4.7
YouTube,Live,Fitness,11,99,0,0,24541,5.29
Twitter,Tweet,Travel,12,120,1,1,29462,4.58
Instagram,Reel,FinTech,17,175,1,0,43359,5.26
YouTube,Live,Travel,17,91,1,0,26517,5.59
Twitter,Tweet,EdTech,12,106,0,0,21381,3.18
Twitter,Tweet,Sports,6,171,0,0,22231,2.32
Instagram,Carousel,Food,15,232,1,1,44685,5.79
LinkedIn,Article,Food,12,169,1,1,34637,5.71
Instagram,Image,Beauty,15,126,0,1,19515,4.22
LinkedIn,Article,Food,14,217,1,0,24548,4.79
Facebook,Image,Sports,18,219,1,0,32144,4.86
Twitter,Thread,Food,19,153,1,0,35255,4.91
YouTube,Video,Travel,13,225,1,1,45313,7.85
Facebook,Video,Beauty,11,125,0,1,27746,5.3
LinkedIn,Post,RealEstate,16,217,0,0,17258,2.79
LinkedIn,Article,Sports,16,145,1,1,33831,4.87
Instagram,Post,Fitness,8,170,0,0,30790,3.39
Twitter,Thread,Gaming,7,88,0,0,16831,2.38
YouTube,Shorts,EdTech,16,233,0,0,30159,4.89
Facebook,Post,RealEstate,7,51,1,1,29484,5.25
Facebook,Video,Sports,11,175,0,0,32256,4.66
Twitter,Thread,Gaming,21,148,0,0,27451,4.4
LinkedIn,Post,Travel,22,98,0,0,26987,3.23
Facebook,Image,Entertainment,17,129,0,0,22298,3.32
YouTube,Shorts,EdTech,8,61,1,1,49017,8.23
YouTube,Live,Beauty,16,161,0,1,53524,6.95
LinkedIn,Post,EdTech,18,54,0,0,28882,4.15
